ModelID,model,selected_genes,oracle_genes
ACH-002528,global_mean,CDAN1|MED1|LRPPRC|UBA5|PIK3CA|PPRC1|KIF14|ASCC3|BIRC6|NRDC,UBA5|MED1|ZNFX1|LRPPRC|SGO2|NRDC|CDAN1|ACACA|ZNF638|DHX29
ACH-002533,global_mean,CDAN1|MED1|LRPPRC|UBA5|PIK3CA|PPRC1|KIF14|ASCC3|BIRC6|NRDC,MED1|EIF3L|ZNF638|LRPPRC|NRDC|APC|AHNAK|PPRC1|UBA5|ARID1A
ACH-000096,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|ASCC3|BIRC6|NRDC,CDAN1|KIF14|BRIP1|KMT2A|RNF25|LRPPRC|EIF3L|ANKRD11|PPRC1|PLEKHG2
ACH-000159,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,CDAN1|UBA5|TLN1|ARID1A|SMARCA4|PPRC1|KIF14|PCSK9|EIF3L|CELSR2
ACH-000189,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|ASCC3|BIRC6|NRDC,ASCC3|TLN1|UBA5|CPAMD8|CELSR2|MYO18A|CDAN1|ACACA|PPRC1|MED1
ACH-000250,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,CDAN1|UBA5|EP300|PPRC1|ACACA|KIF14|ANKRD11|PCNT|EIF3L|MYO18A
ACH-000262,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,TLN1|ACACA|BRIP1|PPRC1|KIF14|EP300|MYO18A|AHNAK|PIK3CA|PDGFRA
ACH-000272,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,ACACA|CPAMD8|UBA5|NRDC|TLN1|NAV1|RNF25|PIK3R2|BRD7|ASCC3
ACH-000313,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|ASCC3|BIRC6|NRDC,ARHGEF7|EP300|RNF25|TLN1|MED1|ARID1A|UBA5|PPRC1|ACACA|SMARCC2
ACH-000385,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,UBA5|LRPPRC|CPAMD8|MED1|SPTAN1|ZMYM2|MYO18A|ARHGEF7|CEP152|EIF3L
ACH-000459,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,ZNF638|TLN1|ZNFX1|CPAMD8|BIRC6|ASCC3|APC|LRP2|BRD7|SMARCA4
ACH-000484,background,CDAN1|MED1|LRPPRC|UBA5|KIF14|PPRC1|PIK3CA|BIRC6|NRDC|ASCC3,ZNF638|MED1|ASCC3|EP300|UBA5|BIRC6|ARHGEF7|KIF14|NPHP1|EIF3L
ACH-000495,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,CDAN1|PPRC1|ASCC3|TLN1|SACS|CPAMD8|KMT2A|UBA5|MYO18A|BRIP1
ACH-000533,background,CDAN1|MED1|LRPPRC|UBA5|PIK3CA|PPRC1|KIF14|ASCC3|BIRC6|NRDC,PDGFRA|CDAN1|LRPPRC|PIK3CA|EP300|BRIP1|ARHGEF7|SMARCA4|ZMYM2|PLEKHG2
ACH-000649,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,UBA5|PPRC1|MED1|ACACA|ZNF638|BRIP1|CTNNA1|CELSR2|NRDC|ANKRD11
ACH-000684,background,CDAN1|MED1|LRPPRC|UBA5|PIK3CA|PPRC1|KIF14|ASCC3|BIRC6|NRDC,CDAN1|UBA5|SACS|PYGM|BRIP1|PDGFRA|PPRC1|RYR1|KMT2A|ZNF638
ACH-000709,background,CDAN1|MED1|LRPPRC|UBA5|PIK3CA|PPRC1|KIF14|ASCC3|BIRC6|NRDC,ACACA|TLN1|ASCC3|BRIP1|CDAN1|EP300|APC|CELSR2|PAN3|SACS
ACH-000907,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,TLN1|UBA5|CDAN1|ANKRD11|SACS|PDGFRA|SGO2|STRN3|BRIP1|EIF3L
